,mean,sem
avg_h_dist,0.009311097659766291,0.0004738737760613895
corr_mat_diff,0.38624499282533337,0.006596225614339294
auroc,0.01622352605307149,0.004437779731778408
cls_F1_diff,0.013291134444996236,0.0020819620784510114
cls_F1_diff_hout,0.009634192393924833,0.000938979609082743
eps_identif_risk,0.6076018099547511,0.0046306395239787065
priv_loss_eps,0.40380090497737553,0.004362704359527226
median_DCR,0.976449455321846,0.002139482160910996
mia_recall,0.5217391304347825,0.00971002475470616
mia_precision,0.5214508990826675,0.005329042328639711
