,mean,sem
avg_h_dist,0.019571115145171854,0.0010029472697723053
corr_mat_diff,0.7015945832860476,0.012793288967722917
auroc,0.02931748281180101,0.005912600623679837
cls_F1_diff,0.024182028365008955,0.0039741092353091576
cls_F1_diff_hout,0.017835797114734986,0.0038416490573752616
eps_identif_risk,0.44226244343891413,0.003992968757015869
priv_loss_eps,0.25122171945701355,0.004437978867355173
median_DCR,0.9718525343293744,0.005006149645692733
mia_recall,0.30260869565217396,0.015062550933259956
mia_precision,0.4985789039222473,0.009614661491912665
