,mean,sem
avg_h_dist,0.268322983045961,0.004575339957365526
corr_mat_diff,2.6776535322900776,0.020213544959380856
auroc,0.023655938968438935,0.004795694850822513
cls_F1_diff,0.1836171840158051,0.008982231839272119
cls_F1_diff_hout,0.20264460022148212,0.01058142838303078
eps_identif_risk,0.016108597285067878,0.0037137166567752376
priv_loss_eps,0.004615384615384614,0.0012100254069460981
median_DCR,2.038354791424147,0.03207661694426676
mia_recall,0.003188405797101449,0.0012560386473429949
mia_precision,0.16,0.058118652580542315
