,mean,sem
avg_h_dist,0.006019472939183234,0.000278954354886766
corr_mat_diff,0.3879900892919089,0.01103434064496809
auroc,0.024358347530696017,0.004070919394703221
cls_F1_diff,0.01690098509522322,0.00201950999739473
cls_F1_diff_hout,0.020045198065515156,0.003366640622488898
eps_identif_risk,0.5708597285067871,0.005023869869457871
priv_loss_eps,0.36823529411764705,0.005785960424064616
median_DCR,0.9554788594955648,0.0025237813149003125
mia_recall,0.515072463768116,0.008728333647203351
mia_precision,0.5200981503396168,0.007513413586103408
