,mean,sem
avg_h_dist,0.021328364520266718,0.0017040254760731963
corr_mat_diff,0.7284292198052269,0.01787930430336333
auroc,0.02586820376593102,0.0061543718920764375
cls_F1_diff,0.03107787610311597,0.003446884170289754
cls_F1_diff_hout,0.021781260501278342,0.0030538223948141595
eps_identif_risk,0.4575565610859729,0.005943833103710556
priv_loss_eps,0.26850678733031674,0.005766425445965139
median_DCR,0.9462286652481258,0.006724712806442922
mia_recall,0.3159420289855072,0.012418372184007443
mia_precision,0.5173888100087922,0.011155399713120987
