,mean,sem
pca_eigval_diff,0.04022357535319378,0.0026320482077856373
pca_eigvec_ang,0.6598924586856594,0.061018371960349774
avg_h_dist,0.013285319363699116,0.0009427460593783314
corr_mat_diff,0.5997335608082832,0.007808451222844597
auroc,0.02574007116620754,0.0051007668212979355
cls_F1_diff,0.019792366935235457,0.0022228919505719877
cls_F1_diff_hout,0.02182063708396433,0.0026250339860741383
eps_identif_risk,0.46416289592760185,0.0038899993962009803
priv_loss_eps,0.27239819004524884,0.0037239938128533286
median_DCR,0.9775408455372497,0.002695545274712952
mia_recall,0.32869565217391306,0.01282661006784625
mia_precision,0.5176608616364107,0.00999281773335916
