,mean,sem
pca_eigval_diff,0.2939794520764799,0.030327849341926092
pca_eigvec_ang,0.7783711403355731,0.07114270726577263
avg_h_dist,0.2821777503085323,0.00969489874727247
corr_mat_diff,2.664351797441759,0.020057663894000776
auroc,0.01818223919193026,0.004409078846134325
cls_F1_diff,0.20299960567045386,0.012781622785413609
cls_F1_diff_hout,0.21850194579111068,0.012598560840195686
eps_identif_risk,0.024796380090497738,0.007097905243412241
priv_loss_eps,0.006877828054298643,0.002616621229828227
median_DCR,1.9931981500163876,0.02863954064493658
mia_recall,0.0011594202898550724,0.0008855218734214183
mia_precision,0.06000000000000001,0.04268749491621899
