,mean,sem
pca_eigval_diff,0.019252316199634478,0.001999633465952003
pca_eigvec_ang,0.3024122275423252,0.02404195559640003
avg_h_dist,0.00613496140289839,0.0003505445157889753
corr_mat_diff,0.3852280880354154,0.009787962215508511
auroc,0.03001983496301678,0.008167401417835665
cls_F1_diff,0.02154563963732871,0.001931297262844982
cls_F1_diff_hout,0.014096248770110276,0.0033464774337421646
eps_identif_risk,0.5656108597285068,0.0035179196952309444
priv_loss_eps,0.3646153846153847,0.003653564018513631
median_DCR,0.9530444468656716,0.0024038325589082693
mia_recall,0.5075362318840579,0.010463817183321546
mia_precision,0.5198132936149132,0.0076891746069254014
