,mean,sem
pca_eigval_diff,0.0395167997263057,0.003411152245631578
pca_eigvec_ang,0.5846474063578253,0.04585824364170151
avg_h_dist,0.013369778951997886,0.0007878800777109924
corr_mat_diff,0.6165040313916295,0.018185041420273555
auroc,0.012416006762597692,0.0033706692501367565
cls_F1_diff,0.020790483222076616,0.0009528986316721207
cls_F1_diff_hout,0.02452612460676386,0.004083539092057998
eps_identif_risk,0.4721266968325792,0.005035177876699943
priv_loss_eps,0.2770135746606335,0.005425589066092227
median_DCR,0.9506828642116674,0.002920744803616442
mia_recall,0.3382608695652174,0.011259666434524657
mia_precision,0.49542095141086273,0.013160709705178027
