,mean,sem
avg_h_dist,0.01641135244046019,0.000767691656746681
corr_mat_diff,0.6857807738395613,0.018580559794053226
auroc,0.019818726447514347,0.005190146741145864
cls_F1_diff,0.027228378996723635,0.003437654196564876
cls_F1_diff_hout,0.0309414920226407,0.003581708591572412
eps_identif_risk,0.4292307692307692,0.005701357466063348
priv_loss_eps,0.24950226244343893,0.0046714328648712715
median_DCR,0.977280325146437,0.00356772010674195
mia_recall,0.2643478260869565,0.009295469349415029
mia_precision,0.5143938397661467,0.008330836662152482
