dataset,corr_mat_diff,auroc,cls_F1_diff,cls_F1_diff_hout,eps_identif_risk,priv_loss_eps,median_DCR,mia_recall,mia_precision
synthpop,0.18792915372118463,0.013151736699981598,0.0143300761708543,0.013836215184551248,0.587138863000932,0.3926685305995651,0.8935928345457093,0.5108910891089109,0.5461524316097031
synthpop,0.10268932612384848,0.020449029460983592,0.014995713891335083,0.009120597952031267,0.5930413171792482,0.40260950605778195,0.8806571881118798,0.5544554455445545,0.534580095064791
synthpop,0.14899077821275805,0.032665449478147424,0.009804088872703953,0.012818951416972119,0.5970798384591488,0.40633737185461327,0.914161917480057,0.5425742574257426,0.5330645086995034
synthpop,0.13557504434202472,0.022872272680454997,0.010924037282694116,0.01676161486981126,0.5933519726623175,0.4022988505747127,0.9039547569692411,0.5108910891089109,0.5307992973495643
synthpop,0.13576881567814136,0.011969480064414784,0.013303270326932792,0.007159996973678362,0.5899347623485555,0.400434917676297,0.9068642809282782,0.5524752475247525,0.5475370713058736
synthpop,0.16041467460797343,0.013641838135000528,0.018041684981035866,0.011985406048166947,0.5973904939422181,0.4019881950916434,0.9277357619596996,0.5455445544554456,0.5395784653786395
synthpop,0.13710574025245498,0.01207307151942083,0.015736331497103018,0.01261780138260879,0.5973904939422181,0.4050947499223362,0.9069237362242409,0.5376237623762377,0.5393011972176783
synthpop,0.15827619673201765,0.0348028198419027,0.008189075519935113,0.010910797456754384,0.5880708294501398,0.3929791860826344,0.8839688703649647,0.5297029702970297,0.5497141683416716
synthpop,0.16939327413015184,0.018397153396426003,0.005360769696365786,0.014049139784968273,0.6032929481205344,0.41037589313451384,0.9152381251407051,0.5396039603960396,0.5249869744379396
synthpop,0.15698245924685478,0.00563646585296973,0.007980064235993511,0.004063108006286814,0.5970798384591488,0.4041627834731283,0.9095070354320166,0.5297029702970297,0.5133805399118462
dpgan,2.9705951510360267,0.3325939596112272,0.6082731039504221,0.5908742701973048,0.0006213109661385523,0.0,18.154981696898684,0.0,0.0
dpgan,2.904968754350549,0.48324813332018185,0.4031469001606678,0.37013323425418215,0.0,-0.00031065548306927616,16.737383953616852,0.0,0.0
dpgan,2.946136105671798,0.14537005679731452,0.5952695541249521,0.5936497207660286,0.00031065548306927616,0.0,18.912819831080157,0.0,0.0
dpgan,3.0143297787607106,0.33541391955629674,0.5569182050892528,0.5087635435605845,0.0,-0.0006213109661385523,20.41396273110463,0.0009900990099009901,0.2
dpgan,2.9605442175199568,0.37274652817145404,0.28642295730112355,0.26515362945678045,0.0012426219322771047,0.0009319664492078285,22.25838648124631,0.0009900990099009901,0.2
dpgan,3.0418400502526004,0.350003440811973,0.6125700601211791,0.6033656989347952,0.0021745883814849334,0.0021745883814849334,19.836118936422693,0.0009900990099009901,0.1
dpgan,2.979258828526917,0.13627353578866686,0.5228204077488017,0.5375980415055148,0.0009319664492078285,0.0009319664492078285,16.469059530784147,0.0029702970297029703,0.3
dpgan,3.000602219775407,0.4276676655538386,0.33324746519671844,0.3408512234828537,0.0006213109661385523,-0.00031065548306927616,12.967410036009424,0.0,0.0
dpgan,3.0267634351501416,0.23273133487347508,0.48902066998380955,0.45819946482007645,0.0012426219322771047,0.0009319664492078285,20.375659269047237,0.0,0.0
dpgan,2.95527079598302,0.47498885546831987,0.5961543077881749,0.5890973876943286,0.00031065548306927616,0.0,21.49223173135826,0.0,0.0
dgms,1.7569054195291378,0.03926738099639371,0.06283218499534085,0.06147273747875795,0.05498602050326188,0.024541783162472814,3.7974211098366446,0.038613861386138607,0.4797551571235782
dgms,1.6893426033370205,0.035727697501739764,0.03935723183117279,0.06128316937606751,0.06088847468157813,0.028269648959304138,3.604074491473509,0.031683168316831684,0.4053127428127429
dgms,1.8823416015901828,0.07143104426511937,0.09693239378510854,0.11401112060059743,0.049704877291084186,0.024541783162472817,4.253102308312897,0.01683168316831683,0.4133333333333334
dgms,1.8913258589643274,0.042660652093664986,0.0871256736170132,0.10590778585573368,0.050015532774153465,0.02205653929791861,3.857756878610323,0.02277227722772277,0.42131701631701635
dgms,1.7217097333026008,0.033593355818311466,0.06127955059657714,0.0664614611254836,0.05747126436781609,0.02578440509474992,3.6210257085145106,0.027722772277227727,0.4286096256684492
dgms,1.9021161154781414,0.05976083146006761,0.07746270176679784,0.09514541902252188,0.0521901211556384,0.02267785026405716,4.188259739033561,0.0297029702970297,0.49976190476190474
dgms,1.873223136351622,0.034410119296890196,0.09106212172373973,0.09469922442779422,0.049394221808014914,0.01801801801801802,4.075023230987833,0.016831683168316833,0.3972222222222222
dgms,1.9293378383468478,0.03453998065727781,0.08525039512411711,0.08762570101344663,0.060267163715439574,0.02485243864554209,3.9827022944177264,0.028712871287128718,0.48875816993464055
dgms,1.7526714976957671,0.09657488438972917,0.09996265474376426,0.08583877901883738,0.0521901211556384,0.019260639950295123,3.7035975352996333,0.02772277227722772,0.4585747585747585
dgms,2.0436577953129316,0.11066299231418464,0.1518458207477682,0.15478852031589949,0.0403852127990059,0.014290152221186701,3.9988830420803216,0.02079207920792079,0.5357142857142857
