dataset,pca_eigval_diff,pca_eigvec_ang,avg_h_dist,corr_mat_diff,auroc,cls_F1_diff,cls_F1_diff_hout,eps_identif_risk,priv_loss_eps,median_DCR,mia_recall,mia_precision
dpgan,0.2725188852826472,0.8365443578605004,0.21267983400990645,,0.7542087542087542,0.4810054731849477,0.4707069550882938,0.0,0.0,7.724006667008095,0.0,0.0
dpgan,0.2368347531228892,0.9631152310384923,0.28097320124466785,,0.75,0.6233812197669737,0.47961098793507223,0.007936507936507936,0.0,10.158309227280329,0.0,0.0
dpgan,0.2519337086128906,0.8951690976845151,0.315924818706247,,0.7348484848484849,0.6642181314843262,0.6857864357864358,0.015873015873015872,0.015873015873015872,7.6190206732513275,0.025,0.1
dpgan,0.22221550799823978,0.9080376866902671,0.2921822914140456,,0.25,0.5225572174373537,0.5076459409875498,0.007936507936507936,0.007936507936507936,8.806590496934245,0.0,0.0
dpgan,0.15794642084719893,0.9411299520460216,0.2718090911619251,,0.8207070707070707,0.624488614982255,0.6683727404790023,0.007936507936507936,0.007936507936507936,5.256067833010506,0.075,0.6
dpgan,0.23830188036728883,0.8792460382248758,0.22625119669671861,7.913715666721646,0.4267676767676768,0.6454269130435997,0.6171810989148451,0.015873015873015872,0.015873015873015872,7.211436085626788,0.0,0.0
dpgan,0.15259059212125997,0.9317852304485321,0.2822168152828752,,0.017676767676767624,0.40442199616970376,0.43831085152737215,0.0,-0.007936507936507936,4.837599769611804,0.025,0.1
dpgan,0.24363943114133463,0.8506420290318506,0.20862633968468544,,0.5656565656565656,0.5508940952435861,0.4335963347548213,0.0,0.0,7.542880165689501,0.0,0.0
dpgan,0.2633247322318787,0.7861259201136549,0.29839704976358145,,0.0037878787878787845,0.5039344330770981,0.4373847109894776,0.0,0.0,6.256438010345474,0.0,0.0
dgms,0.09011381382303464,0.7225122863425449,0.21304974981213767,7.174642549289387,0.0,0.2488103888844762,0.19047619047619047,0.007936507936507936,0.0,8.712543068698256,0.0,0.0
dgms,0.06888986284554413,0.5235867072507674,0.20294815798795213,6.8567025239065345,0.0,0.2201696263582029,0.08602150537634409,0.007936507936507936,0.007936507936507936,8.922778978876414,0.0,0.0
dgms,0.04521674912508344,0.5200576889790038,0.18888913262819895,6.961853259135166,0.0,0.2113880831423805,0.17815482502651114,0.015873015873015872,0.007936507936507936,8.473423389873448,0.05,0.13333333333333333
dgms,0.13654733941155173,0.9930948120270692,0.184487439673347,7.370845741727949,0.0,0.09710091316656258,0.03463203463203468,0.007936507936507936,0.007936507936507936,8.385184110354194,0.025,0.2
dgms,0.12761678744312366,0.5731756411952902,0.18926903562904063,,0.0,0.02667001487495671,0.025450689289501588,0.007936507936507936,0.007936507936507936,8.797844252602989,0.025,0.2
datasynthesizer,0.05177338198315195,0.07779239167694202,0.017213132261060263,2.4889501035878787,0.0,0.01661718831316114,0.0,0.5952380952380952,0.373015873015873,0.7583829380568774,0.5,0.49177489177489175
dgms,0.14187517323009963,0.5009704120138786,0.20219649624182906,7.011624560007472,0.0,0.24231169571209724,0.2963814260117328,0.007936507936507936,0.007936507936507936,8.514345571825304,0.0,0.0
dpgan,0.2512371200042422,0.9916912829908743,0.21977871050722222,,0.755050505050505,0.5453763527095563,0.6971910282158449,0.015873015873015872,0.015873015873015872,8.543648834822719,0.0,0.0
datasynthesizer,0.028870707427690247,0.1109138585164922,0.02282463714818969,2.477639923468488,0.0,0.014112233879675695,0.0,0.6349206349206349,0.4603174603174603,0.5476879152526274,0.35,0.39999999999999997
dgms,0.14879926247714323,0.49587591592080765,0.08152789331768925,5.853674936706189,0.0,0.006969376736818578,0.0,0.007936507936507936,0.007936507936507936,3.905478003521371,0.0,0.0
