dataset,avg_h_dist,corr_mat_diff,auroc,cls_F1_diff,cls_F1_diff_hout,eps_identif_risk,priv_loss_eps,median_DCR,mia_recall,mia_precision
dgms,0.0691474041037856,,0.11235294117647066,0.04361107993870769,0.16006696444698754,0.2231404958677686,0.1115702479338843,0.8826170432233469,0.1625,0.6047619047619047
dgms,0.11766333495365136,3.1276584442103377,0.1084235294117647,0.10044939579672355,0.11812597456312862,0.10743801652892562,0.03305785123966942,0.9103446919545566,0.1,0.7
dgms,0.12483418451644337,3.04695967695127,0.21411764705882352,0.16180579513382998,0.1804692615290714,0.08264462809917356,0.02066115702479339,0.8467138503054046,0.0375,0.2
dgms,0.05584006250349873,3.317712478615809,0.1684,0.09944516176588963,0.12828525657257842,0.09504132231404959,0.024793388429752067,0.9534889805287492,0.0375,0.36666666666666664
dpgan,0.18350399386719518,1.6943305227036527,0.6702588235294118,0.3814310301399651,0.4054875973103859,0.07024793388429752,0.03305785123966942,2.0103055714401026,0.0125,0.1
dpgan,0.2108423610366808,1.542056414694725,0.576635294117647,0.42878371001768023,0.43437036356296516,0.10330578512396695,0.045454545454545456,1.8539668235493576,0.0625,0.4133333333333333
dgms,0.0835162429287107,3.508327641739654,0.2438117647058824,0.10690234037707283,0.24081906704832814,0.10743801652892562,0.0371900826446281,0.9925603716554808,0.0875,0.6333333333333333
dgms,0.14904922975597906,2.9240151557562886,0.059223529411764675,0.07321109632355594,0.19118872514040802,0.23140495867768596,0.11983471074380166,0.9045970372519192,0.15,0.39206349206349206
dpgan,0.2656572711070017,1.9862446991387022,0.6254588235294117,0.3989087733570518,0.38872171624458596,0.008264462809917356,-0.012396694214876033,2.863990419993079,0.025,0.1
datasynthesizer,0.03171021288581394,0.9097129973772471,0.08585882352941177,0.07431408107039189,0.07613099957586353,0.5991735537190083,0.38842975206611574,0.7913770359094771,0.5125,0.5659060238007606
datasynthesizer,0.03254255415696507,0.8166832700937547,0.006494117647058872,0.01873924676108532,0.05501055556466977,0.5909090909090909,0.38842975206611574,0.8280383434969933,0.4125,0.5635930735930735
datasynthesizer,0.019564445117168157,0.8931376984493246,0.17322352941176467,0.04225035887969961,0.11862869128855452,0.628099173553719,0.4256198347107438,0.8274561348867313,0.5,0.6108775435091224
datasynthesizer,0.016282935088594252,0.8584890829833824,0.12703529411764702,0.06464022879180442,0.10184759177867053,0.6074380165289256,0.40909090909090906,0.8123101402862284,0.425,0.5284188034188034
datasynthesizer,0.013989878283087079,0.8232911420466138,0.011152941176470588,0.05542461967279644,0.015343446940601163,0.6570247933884298,0.4545454545454546,0.8261147755186519,0.425,0.5242424242424242
datasynthesizer,0.0448023536938365,0.7274445192787539,0.08432941176470587,0.03411641115327019,0.10027765595878116,0.6074380165289256,0.40082644628099173,0.8121307373374578,0.5375,0.6010964912280701
datasynthesizer,0.00897428694579583,0.8049164455822992,0.0039529411764706035,0.03132563899630811,0.07512173241228703,0.6652892561983471,0.45867768595041325,0.8113536539099953,0.475,0.5532017002605237
datasynthesizer,0.011533668625729077,0.7950536461049029,0.006000000000000005,0.037649770013633566,0.02421267043701572,0.6115702479338843,0.4173553719008264,0.6504069985887578,0.525,0.6305694305694305
datasynthesizer,0.017455219428862325,1.0131465102776522,0.005670588235294094,0.06127956506426474,0.0617450461780123,0.6157024793388429,0.4256198347107437,0.9089015176802034,0.375,0.4919629390217626
datasynthesizer,0.017726421090138472,0.8381634565726325,0.04242352941176464,0.03612148652039249,0.028173904571734687,0.6074380165289256,0.40909090909090906,0.8110700617590444,0.35,0.4685714285714286
dgms,0.11915021820684728,,0.11211764705882354,0.03799662080983687,0.10487005301235275,0.11983471074380166,0.045454545454545456,1.0441843801609818,0.025,0.3
dgms,0.08942858444240888,3.6775377909389735,0.2347058823529412,0.1332334621379532,0.29931565634617346,0.12396694214876033,0.049586776859504134,0.9999903704470068,0.025,0.3
dpgan,0.192929127891935,1.8195153723631217,0.3810588235294118,0.36253435171118253,0.4084764166239633,0.06611570247933884,0.008264462809917356,1.6001973157849023,0.025,0.3
dpgan,0.22114044748855474,1.7003401438109378,0.5899576470588235,0.3253934127939156,0.39162827760663205,0.02066115702479339,0.012396694214876033,2.2784230669517918,0.0125,0.2
dpgan,0.20613948557462627,1.4817890227632593,0.6785411764705882,0.3117254101258447,0.419995571874741,0.12396694214876033,0.05371900826446281,1.9286193492488477,0.05,0.22999999999999998
dpgan,0.23582775605279144,1.5492118613273291,0.1742117647058823,0.3884940476823966,0.3250301880967389,0.02066115702479339,0.008264462809917356,2.3384150372772505,0.0,0.0
dgms,0.06656635813740666,2.378781223034826,0.11178823529411763,0.047604305380494455,0.11758489863890317,0.1652892561983471,0.10330578512396695,1.197369237816385,0.05,0.4333333333333333
dpgan,0.19500605068070392,1.8191319070667613,0.25416470588235296,0.308543190956493,0.2802281549120723,0.07024793388429752,0.02066115702479339,2.1917674598395167,0.0375,0.3
dpgan,0.23752802204336615,1.618105444914003,0.5322117647058824,0.31329076749436535,0.2841808137346677,0.06611570247933884,0.028925619834710745,2.510375591226862,0.1125,0.5266666666666666
dpgan,0.27033379587857503,1.3868082236975514,0.043341176470588216,0.37894206607688286,0.47413778511559634,0.08677685950413223,0.05785123966942149,2.595180049954575,0.1,0.75
dgms,0.1637084163072942,1.83165492652915,0.03232941176470583,0.1564985088640683,0.2405397590705696,0.09090909090909091,0.045454545454545456,1.2019330320711465,0.0375,0.4
